"Periodo","cvegeo","Entidad_federativa","Proporción_de_la_población_que_dispone_de_servicios_de_suministro_de_agua_potable_gestionados_de_manera_segura,_por_entidad_federativa",
"2022",	00,"Estados Unidos Mexicanos","61.0104252854697",
"2022",	01,"Aguascalientes","80.9456255534693",
"2022",	02,"Baja California","92.2789584191833",
"2022",	03,"Baja California Sur","24.5907659833917",
"2022",	04,"Campeche","65.5475693509292",
"2022",	05,"Coahuila de Zaragoza","75.3991284188966",
"2022",	06,"Colima","84.4145571671979",
"2022",	07,"Chiapas","37.4478972332488",
"2022",	08,"Chihuahua","93.3372904147582",
"2022",	09,"Ciudad de México","75.6271287394101",
"2022",	10,"Durango","82.061810230098",
"2022",	11,"Guanajuato","73.5670507617917",
"2022",	12,"Guerrero","17.7459524007887",
"2022",	13,"Hidalgo","33.7185915323436",
"2022",	14,"Jalisco","83.8014120526638",
"2022",	15,"México","48.1043585463034",
"2022",	16,"Michoacán de Ocampo","43.6848791187715",
"2022",	17,"Morelos","21.2444218052881",
"2022",	18,"Nayarit","53.045340146189",
"2022",	19,"Nuevo León","79.9899436252043",
"2022",	20,"Oaxaca","35.2235204814066",
"2022",	21,"Puebla","28.0084547351163",
"2022",	22,"Querétaro","73.8506136108425",
"2022",	23,"Quintana Roo","84.0715954378954",
"2022",	24,"San Luis Potosí","46.182964003771",
"2022",	25,"Sinaloa","91.0266511611489",
"2022",	26,"Sonora","86.5259177133282",
"2022",	27,"Tabasco","64.3803746193085",
"2022",	28,"Tamaulipas","88.4608150234365",
"2022",	29,"Tlaxcala","40.5539025482903",
"2022",	30,"Veracruz de Ignacio de la Llave","49.2872297327931",
"2022",	31,"Yucatán","95.1039757838581",
"2022",	32,"Zacatecas","40.7072787316752",
"2020",	00,"Estados Unidos Mexicanos","64.3907761241372",
"2020",	01,"Aguascalientes","84.4666213839107",
"2020",	02,"Baja California","90.4203340091885",
"2020",	03,"Baja California Sur","21.7239406970725",
"2020",	04,"Campeche","75.9018264962322",
"2020",	05,"Coahuila de Zaragoza","79.7960528411702",
"2020",	06,"Colima","87.0029642075681",
"2020",	07,"Chiapas","35.6317944874159",
"2020",	08,"Chihuahua","90.5896521162503",
"2020",	09,"Ciudad de México","77.6985565075335",
"2020",	10,"Durango","85.0520943733318",
"2020",	11,"Guanajuato","76.2841180629637",
"2020",	12,"Guerrero","19.69114106452",
"2020",	13,"Hidalgo","52.4773760261813",
"2020",	14,"Jalisco","83.7064666675654",
"2020",	15,"México","53.2796443870909",
"2020",	16,"Michoacán de Ocampo","51.726890004293",
"2020",	17,"Morelos","29.9318395626073",
"2020",	18,"Nayarit","55.8515852215015",
"2020",	19,"Nuevo León","98.4108879869825",
"2020",	20,"Oaxaca","36.2041337568063",
"2020",	21,"Puebla","25.5783585440371",
"2020",	22,"Querétaro","82.6433705970261",
"2020",	23,"Quintana Roo","88.9418707727715",
"2020",	24,"San Luis Potosí","50.8378766333027",
"2020",	25,"Sinaloa","93.2731003568087",
"2020",	26,"Sonora","88.4171454635147",
"2020",	27,"Tabasco","63.8556176826573",
"2020",	28,"Tamaulipas","87.1725515148992",
"2020",	29,"Tlaxcala","45.6126004408732",
"2020",	30,"Veracruz de Ignacio de la Llave","51.7691578775929",
"2020",	31,"Yucatán","95.89209105651",
"2020",	32,"Zacatecas","40.5488860246732",
"2018",	00,"Estados Unidos Mexicanos","64.4241896290716",
"2018",	01,"Aguascalientes","89.8129506691186",
"2018",	02,"Baja California","89.0255682659214",
"2018",	03,"Baja California Sur","24.5042427129544",
"2018",	04,"Campeche","70.9831887503557",
"2018",	05,"Coahuila de Zaragoza","78.1058352445556",
"2018",	06,"Colima","86.9833617188524",
"2018",	07,"Chiapas","38.3240148612333",
"2018",	08,"Chihuahua","93.5297663671186",
"2018",	09,"Ciudad de México","72.9742527172753",
"2018",	10,"Durango","82.9098608258181",
"2018",	11,"Guanajuato","75.4804887469639",
"2018",	12,"Guerrero","15.7224469511732",
"2018",	13,"Hidalgo","46.6763067154064",
"2018",	14,"Jalisco","84.5098642281462",
"2018",	15,"México","53.568070880676",
"2018",	16,"Michoacán de Ocampo","57.1630050446427",
"2018",	17,"Morelos","26.199405957376",
"2018",	18,"Nayarit","48.8385415903657",
"2018",	19,"Nuevo León","98.4799769830724",
"2018",	20,"Oaxaca","38.1266956381465",
"2018",	21,"Puebla","27.4865941827637",
"2018",	22,"Querétaro","80.7491364688696",
"2018",	23,"Quintana Roo","88.1938409362306",
"2018",	24,"San Luis Potosí","52.8653832911643",
"2018",	25,"Sinaloa","90.9718080157473",
"2018",	26,"Sonora","88.1192555233359",
"2018",	27,"Tabasco","70.3404307886359",
"2018",	28,"Tamaulipas","91.9418690269497",
"2018",	29,"Tlaxcala","45.8006764222283",
"2018",	30,"Veracruz de Ignacio de la Llave","56.0952950989045",
"2018",	31,"Yucatán","95.0113630391327",
"2018",	32,"Zacatecas","42.1455815335843",
"2016",	00,"Estados Unidos Mexicanos","65.5018680506628",
"2016",	01,"Aguascalientes","90.4290305588848",
"2016",	02,"Baja California","89.7409362920221",
"2016",	03,"Baja California Sur","30.8966530126917",
"2016",	04,"Campeche","77.92928839955",
"2016",	05,"Coahuila de Zaragoza","74.819907173139",
"2016",	06,"Colima","91.4033868232507",
"2016",	07,"Chiapas","31.7459258694386",
"2016",	08,"Chihuahua","92.604788060299",
"2016",	09,"Ciudad de México","75.8018206140494",
"2016",	10,"Durango","84.7801276872848",
"2016",	11,"Guanajuato","76.4959560386686",
"2016",	12,"Guerrero","20.2958479612385",
"2016",	13,"Hidalgo","46.1627659978389",
"2016",	14,"Jalisco","86.5332468424125",
"2016",	15,"México","54.8013722053892",
"2016",	16,"Michoacán de Ocampo","56.5361712057658",
"2016",	17,"Morelos","30.4769838591034",
"2016",	18,"Nayarit","53.7622512924769",
"2016",	19,"Nuevo León","98.1605202639165",
"2016",	20,"Oaxaca","28.2080280284983",
"2016",	21,"Puebla","35.4123134584166",
"2016",	22,"Querétaro","83.2372933214211",
"2016",	23,"Quintana Roo","90.0229040357646",
"2016",	24,"San Luis Potosí","65.9201544300061",
"2016",	25,"Sinaloa","92.0408270790552",
"2016",	26,"Sonora","92.3968139757707",
"2016",	27,"Tabasco","66.1831139996737",
"2016",	28,"Tamaulipas","92.370350507182",
"2016",	29,"Tlaxcala","44.9601378781251",
"2016",	30,"Veracruz de Ignacio de la Llave","55.5645706608425",
"2016",	31,"Yucatán","96.2060043354379",
"2016",	32,"Zacatecas","48.1864256690134",
"2014",	00,"Estados Unidos Mexicanos","66.9279920810174",
"2014",	01,"Aguascalientes","87.3102103028861",
"2014",	02,"Baja California","88.1051532938915",
"2014",	03,"Baja California Sur","31.7167586851497",
"2014",	04,"Campeche","71.197810268601",
"2014",	05,"Coahuila de Zaragoza","79.9030748958674",
"2014",	06,"Colima","98.0834312392005",
"2014",	07,"Chiapas","41.9594702021512",
"2014",	08,"Chihuahua","88.3367571639003",
"2014",	09,"Ciudad de México","79.6948782980536",
"2014",	10,"Durango","90.5620295183786",
"2014",	11,"Guanajuato","77.108368534763",
"2014",	12,"Guerrero","12.9936489290536",
"2014",	13,"Hidalgo","52.4055419240266",
"2014",	14,"Jalisco","82.1509019545542",
"2014",	15,"México","61.7960139934972",
"2014",	16,"Michoacán de Ocampo","49.6544995950723",
"2014",	17,"Morelos","28.9548184563981",
"2014",	18,"Nayarit","45.6529388145395",
"2014",	19,"Nuevo León","96.6608321178576",
"2014",	20,"Oaxaca","32.0620501137353",
"2014",	21,"Puebla","34.0330340233235",
"2014",	22,"Querétaro","75.4761560978171",
"2014",	23,"Quintana Roo","90.7211413899976",
"2014",	24,"San Luis Potosí","53.9318101443725",
"2014",	25,"Sinaloa","88.7925502307534",
"2014",	26,"Sonora","91.120743733695",
"2014",	27,"Tabasco","66.5513977189714",
"2014",	28,"Tamaulipas","87.1322754577653",
"2014",	29,"Tlaxcala","41.133502572552",
"2014",	30,"Veracruz de Ignacio de la Llave","72.2932331155844",
