estado,recarga,extraccion,disp_pos,disp_neg
AGUASCALIENTES,326.5,452.456262,0.0,-134.256262
BAJA CALIFORNIA,955.5,1467.289728,51.607107,-603.296835
BAJA CALIFORNIA SUR,454.2,434.29824,15.925732,-105.123972
CAMPECHE,2099.4,8.839239,306.460761,0.0
CHIAPAS,15993.3,744.446953,2948.253048,0.0
CHIHUAHUA,3910.1,5893.448278,424.596777,-3063.045054
COAHUILA,1971.4,1873.795558,69.813383,-515.108941
COLIMA,520.1,411.01379399999996,14.018963000000001,-5.632757
DISTRITO FEDERAL,512.8,993.229914,0.0,-480.429914
DURANGO,966.6,860.549775,249.416182,-288.765957
GUANAJUATO,2236.6,2688.906993,134.26817,-676.775163
GUERRERO,1672.2,396.139004,717.166238,-2.705242
HIDALGO,2117.0,500.642208,190.5996,-27.041808000000003
JALISCO,3423.3,2701.105416,104.8823,-454.387716
MEXICO,1643.2,1543.754529,4.586288,-562.340817
MICHOACAN,2909.0,1431.588974,281.055227,-178.344201
MORELOS,825.5,389.784169,28.821744,-0.705913
NAYARIT,1222.5,373.551973,83.667927,-39.9199
NUEVO LEON,1186.0,1233.761256,109.520116,-381.081372
OAXACA,5075.900000000001,662.69146,340.159214,-10.850674
PUEBLA,1256.7,997.519593,113.908659,-83.028252
QUERETARO,653.5,712.57531,78.73457,-173.10988
QUINTANA ROO,405.70000000000005,80.258972,207.24102799999997,0.0
SAN LUIS POTOSI,2034.7,1003.62977,154.335213,-308.76498300000003
SINALOA,2943.8,1450.909123,171.108893,-172.118016
SONORA,3287.2,3236.333298,269.619518,-553.2528159999999
TABASCO,9256.7,328.385975,7526.114025,0.0
TAMAULIPAS,998.9,553.9426,235.487851,-35.730451
TLAXCALA,371.4,228.654101,62.74589900000001,0.0
VERACRUZ,16636.1,1602.252809,658.3754250000001,-64.528234
YUCATAN,14931.8,5185.365077,2059.634923,0.0
ZACATECAS,1065.1,1296.672256,43.080018,-396.052274
