the_geom,points_id,location_name,input_address,match_address,latitude,longitude,major_basin_name,minor_basin_name,aquifer_name,pfaf_id,gid_1,gid_0,name_0,name_1,bau30_ba_x_l,bau50_ba_x_l,bau80_ba_x_l,opt30_ba_x_l,opt50_ba_x_l,opt80_ba_x_l,pes30_ba_x_l,pes50_ba_x_l,pes80_ba_x_l,bau30_ww_x_l,bau50_ww_x_l,bau80_ww_x_l,opt30_ww_x_l,opt50_ww_x_l,opt80_ww_x_l,pes30_ww_x_l,pes50_ww_x_l,pes80_ww_x_l,bau30_ws_x_l,bau50_ws_x_l,bau80_ws_x_l,opt30_ws_x_l,opt50_ws_x_l,opt80_ws_x_l,pes30_ws_x_l,pes50_ws_x_l,pes80_ws_x_l,bau30_wd_x_l,bau50_wd_x_l,bau80_wd_x_l,opt30_wd_x_l,opt50_wd_x_l,opt80_wd_x_l,pes30_wd_x_l,pes50_wd_x_l,pes80_wd_x_l,bau30_iv_x_l,bau50_iv_x_l,bau80_iv_x_l,opt30_iv_x_l,opt50_iv_x_l,opt80_iv_x_l,pes30_iv_x_l,pes50_iv_x_l,pes80_iv_x_l,bau30_sv_x_l,bau50_sv_x_l,bau80_sv_x_l,opt30_sv_x_l,opt50_sv_x_l,opt80_sv_x_l,pes30_sv_x_l,pes50_sv_x_l,pes80_sv_x_l,bau30_ba_x_r,bau50_ba_x_r,bau80_ba_x_r,opt30_ba_x_r,opt50_ba_x_r,opt80_ba_x_r,pes30_ba_x_r,pes50_ba_x_r,pes80_ba_x_r,bau30_ww_x_r,bau50_ww_x_r,bau80_ww_x_r,opt30_ww_x_r,opt50_ww_x_r,opt80_ww_x_r,pes30_ww_x_r,pes50_ww_x_r,pes80_ww_x_r,bau30_ws_x_r,bau50_ws_x_r,bau80_ws_x_r,opt30_ws_x_r,opt50_ws_x_r,opt80_ws_x_r,pes30_ws_x_r,pes50_ws_x_r,pes80_ws_x_r,bau30_wd_x_r,bau50_wd_x_r,bau80_wd_x_r,opt30_wd_x_r,opt50_wd_x_r,opt80_wd_x_r,pes30_wd_x_r,pes50_wd_x_r,pes80_wd_x_r,bau30_iv_x_r,bau50_iv_x_r,bau80_iv_x_r,opt30_iv_x_r,opt50_iv_x_r,opt80_iv_x_r,pes30_iv_x_r,pes50_iv_x_r,pes80_iv_x_r,bau30_sv_x_r,bau50_sv_x_r,bau80_sv_x_r,opt30_sv_x_r,opt50_sv_x_r,opt80_sv_x_r,pes30_sv_x_r,pes50_sv_x_r,pes80_sv_x_r
0101000020E6100000DFE00B93A99259C018265305A3E23540,1,Aguascalientes,_,-,21.8853,-102.2916,Río Lerma,Verde Grande,,771460,MEX.1_1,MEX,Mexico,Aguascalientes,30-100 cm,30-100 cm,10-30 cm,30-100 cm,30-100 cm,10-30 cm,30-100 cm,30-100 cm,30-100 cm,3-10 cm,3-10 cm,10-30 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),High (50-75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Medium - High (0.50-0.75),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),38.33148099,34.61508979,25.50744325,38.01788238,44.12665796,28.92962555,33.78115178,35.54543297,31.08610783,7.447847452,8.385813262,10.2877543,7.142266976,7.430068831,7.371514522,7.198749333,7.520295461,8.056746168,1.798984143,2.090738972,2.774931236,1.862407579,1.553710947,2.016762042,1.872857508,2.106238946,2.339355438,0.865734644,0.944631438,1.274759943,0.882015791,0.722787023,0.980238192,0.887699859,0.976448288,1.052333057,0.518270279,0.497349138,0.577627854,0.494786288,0.488226794,0.561264696,0.531819795,0.568241011,0.620690884,0.897675678,0.923727551,0.971893004,0.898266232,0.898010418,0.88616786,0.897258557,0.909667293,0.915397186
0101000020E6100000B5A679C729D25CC08104C58F31D73E40,2,Baja California,_,-,30.8406,-115.2838,Baja California,Arroyo Agua Dulce / Santa Clara,,774111,MEX.3_1,MEX,Mexico,Baja California,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,1-3 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,High (0.75-1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),High (0.75-1.00),High (0.75-1.00),Extremely High (>1.00),Extremely High (>1.00),High (1.00-1.33),High (1.00-1.33),Medium - High (0.66-1.00),High (1.00-1.33),High (1.00-1.33),High (1.00-1.33),High (1.00-1.33),High (1.00-1.33),High (1.00-1.33),0.59875878,0.68577691,0.541486209,0.691631055,0.673273712,0.623589979,0.613198426,0.642221246,0.766804825,0.916795917,0.971630549,1.149363679,0.887779358,0.926624357,0.905215936,0.884599189,0.922691986,0.950394052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916867655,1.070623687,1.004730949,1.149900653,1.130944449,0.987823617,0.992263499,1.280110291,1.290776982,1.023959471,1.045847009,0.990997052,1.017516322,1.059770652,1.046867004,1.044432134,1.154501889,1.1230007
0101000020E610000066F7E461A1EA5BC041F163CC5D0B3A40,3,Baja California Sur,_,-,26.0444,-111.6661,Baja California,Arroyo Mezquital / Arroyo Comondú,,774115,MEX.2_1,MEX,Mexico,Baja California Sur,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,< 1 cm,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and low water use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Arid and Low Water Use,Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.33),Extremely High (>1.33),Extremely High (>1.33),Extremely High (>1.33),Extremely High (>1.33),Extremely High (>1.33),Extremely High (>1.33),Extremely High (>1.33),Extremely High (>1.33),0.42839286,0.622984613,0.500252251,0.522167085,0.491399899,0.423094828,0.504291367,0.510285181,0.488023483,0.077635469,0.08278269,0.091752267,0.07598664,0.078240947,0.0781599,0.075091534,0.078604965,0.080471941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.300626336,2.491135496,2.651485013,2.310770933,2.354087199,2.400156238,2.167529396,2.581236317,2.665810566,1.426599133,1.396690909,1.593927295,1.619118306,1.562198953,1.454250092,1.761191579,1.705230008,1.550425203
0101000020E610000058A835CD3BA256C0DC68006F81D43340,4,Campeche,_,-,19.8301,-90.5349,Yucatán Peninsula,Champotón,,753715,MEX.4_1,MEX,Mexico,Campeche,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low (<5%),Low (<5%),Low - Medium (5-25%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),High (0.75-1.00),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),22.90946082,23.44853268,12.53588825,19.88083432,24.37604046,18.97165767,21.57508622,21.63767826,13.45718342,1.463335022,1.851408702,2.466179082,1.408959048,1.499856324,1.492519306,1.398070855,1.498559117,1.604142164,0.101418456,0.1239442,0.288224677,0.11011323,0.096486114,0.130835645,0.112723228,0.108427215,0.209983903,0.042874993,0.054551572,0.139689225,0.046253133,0.041662279,0.058458514,0.047054895,0.045665323,0.088696029,0.732582094,0.63047291,0.675223846,0.608682023,0.750937755,0.649010827,0.665477455,0.644603887,0.623263589,0.486510607,0.479560832,0.525158927,0.50882531,0.492324646,0.482508416,0.474114308,0.436593158,0.564046542
0101000020E61000002AA913D0444857C0A857CA32C4C13040,5,Chiapas,_,-,16.7569,-93.1292,Grijalva - Usumacinta,Grijalva / Tuxtla Gutiérrez,,753627,MEX.5_1,MEX,Mexico,Chiapas,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,100-300 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,Low (<10%),Low (<10%),Low-medium (10-20%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low-medium (10-20%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),155.4543591,157.1420656,117.7336237,162.0504138,155.0581908,149.3715326,162.8363073,145.9852493,114.1867606,3.378264498,3.98389694,5.107455899,3.330328585,3.489877748,3.520711361,3.266061894,3.504844332,3.622061481,0.064338393,0.070087262,0.105702255,0.067230976,0.069516347,0.079726335,0.063942347,0.072496142,0.102530045,0.037774973,0.040560473,0.059191028,0.039088293,0.040485457,0.04602961,0.03951753,0.041108311,0.059148471,0.361263194,0.401901791,0.450479522,0.331675412,0.362862284,0.442438173,0.345183199,0.4028919,0.442898122,0.501733166,0.511352568,0.500076334,0.524282391,0.510784594,0.493418434,0.505885214,0.501803359,0.540461724
0101000020E6100000D50968226C845AC0355EBA490CA23C40,6,Chihuahua,_,-,28.633,-106.0691,Río Grande - Bravo,Conchos / Presa el Granero,,752182,MEX.6_1,MEX,Mexico,Chihuahua,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,3-10 cm,3-10 cm,10-30 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),High (0.75-1.00),High (0.75-1.00),Extremely High (>1.00),High (0.75-1.00),High (0.75-1.00),Medium - High (0.50-0.75),High (0.75-1.00),High (0.75-1.00),High (0.75-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),17.44399872,17.78505798,14.2582021,20.43796308,14.87017479,17.27964911,17.84709086,18.44177647,23.97518006,7.244947067,8.481717034,10.16436367,7.060216143,7.487242764,7.356638463,7.158704973,7.383858023,7.401363516,1.58643661,1.497713448,2.687195472,2.458540203,2.514767886,1.361799988,1.863206,2.148051536,1.739582909,1.227360902,1.013643068,1.444349665,1.296080738,1.518874748,1.163486617,1.312679703,1.261268697,1.332179117,0.751783644,0.812425623,1.075401158,0.783831791,0.864343846,0.742073642,0.806110428,0.844663576,0.81473542,0.862948977,0.835983785,0.845297301,0.786965376,0.728352432,0.819446759,0.802744279,0.819190806,0.785358845
0101000020E6100000F1F44A5986C858C0E63FA4DFBE6E3340,7,Ciudad de México,_,-,19.4326,-99.1332,Río Verde,Moctezuma,,753240,MEX.9_1,MEX,Mexico,Distrito Federal,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),5.511540598,5.19259688,3.84240321,5.539757897,8.295129995,5.173573486,5.903193044,5.104127854,4.700728967,46.40348429,61.62918239,85.32732393,43.5963476,47.39498177,45.83286864,43.57722627,46.99301621,45.4754044,10.63530511,16.50745182,13.8535558,9.463554979,9.097571477,10.160829,10.99406969,10.69580682,10.48565297,4.070179303,7.324602696,7.279351406,3.421409577,3.578283825,4.211035029,3.954193167,4.024968295,4.353364742,0.539565314,0.50541773,0.468144311,0.486117932,0.474702118,0.546376904,0.538676108,0.557233571,0.567740432,0.723743702,0.777604754,0.851548953,0.685881269,0.711231592,0.72681176,0.712244011,0.723882931,0.744699036
0101000020E6100000053411363C6D59C0744694F6060F3B40,8,Coahuila,_,-,27.0587,-101.7068,Río Grande - Bravo,Bravo / Sosa,,752147,MEX.7_1,MEX,Mexico,Coahuila,1-3 cm,1-3 cm,1-3 cm,1-3 cm,3-10 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,3-10 cm,3-10 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Extremely High (>1.00),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Medium - High (0.66-1.00),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),2.450640211,2.368822491,2.581169987,2.150730776,3.099444718,2.361368874,2.148873809,2.244065598,2.745422005,2.70824474,3.033489058,3.314959424,2.767383554,2.806698831,2.835681573,2.681353648,2.847905413,2.869633088,1.813632627,1.788625071,2.104856565,9999,1.50164751,9999,1.88609688,2.191607513,1.89803844,1.281759415,1.358687626,1.202069494,9999,1.384411665,9999,1.342267874,1.231149554,1.198465943,1.154117274,1.446596865,1.329343348,1.23398895,1.310002647,1.340821833,1.2352635,1.336508416,1.382971739,0.501688311,0.601125346,0.557132569,0.529083529,0.557500476,0.671609309,0.448856817,0.473686614,0.560625222
0101000020E610000027C286A757EE59C0ADFA5C6DC53E3340,9,Colima,_,-,19.2452,-103.7241,Pacific Central Coast,Armería,,771304,MEX.8_1,MEX,Mexico,Colima,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),High (50-75%),High (50-75%),High (50-75%),High (50-75%),High (50-75%),High (50-75%),High (50-75%),High (50-75%),Extremely High (>75%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),39.5533222,38.94756674,32.444448,38.48164685,41.79987447,36.47734054,38.33870726,38.24639382,33.34473636,4.478645813,4.97742512,5.846436826,4.463114023,4.584699511,4.610981941,4.405196884,4.718060601,4.875241509,1.463460301,1.705519527,2.117591509,1.590877469,1.466277066,1.823474169,1.568968613,1.780418992,2.408748918,0.677884795,0.669149465,0.679164297,0.695544449,0.644525897,0.715175273,0.667516183,0.741276231,0.925823386,0.405455131,0.437854043,0.454723496,0.431767601,0.467706962,0.457225568,0.382843469,0.414332337,0.49241889,0.785836009,0.799904885,0.783058771,0.791307487,0.807418283,0.770144854,0.774066231,0.782662623,0.798944235
0101000020E6100000D26F5F07CE295AC06519E25817073840,10,Durango,_,-,24.0277,-104.6532,"Mexico, Northwest Coast",San Pedro,,771520,MEX.10_1,MEX,Mexico,Durango,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),17.22991902,18.72462161,15.54037066,19.04480217,18.06885078,15.35040248,18.41170476,18.36983116,17.50409806,3.652964862,4.366273854,5.069990799,3.502078196,3.831683413,3.747183697,3.60647408,4.154519725,4.237934415,1.566211233,1.797930938,2.343992679,1.500364757,1.700989766,1.704552464,1.631433592,1.790948614,1.8016694,0.851207328,0.967536904,1.243019897,0.81630483,0.904619562,0.906947612,0.880948932,0.971229745,0.962955101,0.424505786,0.450636776,0.502476308,0.459929931,0.444631444,0.440875108,0.440447594,0.466119386,0.474192117,0.859096208,0.864635258,0.84032459,0.880251821,0.86603697,0.848236662,0.845807977,0.84877644,0.812306829
