points_id,location_name,latitude,longitude,bau30_ws_x_l,bau50_ws_x_l,bau80_ws_x_l,bau30_ws_x_r,bau50_ws_x_r,bau80_ws_x_r
1,Aguascalientes,21.8853,-102.2916,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),1.798984143,2.090738972,2.774931236
2,Baja California,30.8406,-115.2838,Arid and low water use,Arid and low water use,Arid and low water use,1,1,1
3,Baja California Sur,26.0444,-111.6661,Arid and low water use,Arid and low water use,Arid and low water use,1,1,1
4,Campeche,19.8301,-90.5349,Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),0.101418456,0.1239442,0.288224677
5,Chiapas,16.7569,-93.1292,Low (<10%),Low (<10%),Low-medium (10-20%),0.064338393,0.070087262,0.105702255
6,Chihuahua,28.633,-106.0691,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),1.58643661,1.497713448,2.687195472
7,Ciudad de México,19.4326,-99.1332,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),10.63530511,16.50745182,13.8535558
8,Coahuila,27.0587,-101.7068,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),1.813632627,1.788625071,2.104856565
9,Colima,19.2452,-103.7241,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),1.463460301,1.705519527,2.117591509
10,Durango,24.0277,-104.6532,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),1.566211233,1.797930938,2.343992679
11,Guanajuato,21.019,-101.2574,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),2.247538747,2.576287547,4.016867603
12,Guerrero,18.0205,-99.6625,Low-medium (10-20%),Medium-high (20-40%),High (40-80%),0.166685492,0.382706707,0.637010346
13,Hidalgo,20.0911,-98.7624,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),10.63530511,16.50745182,13.8535558
14,Jalisco,20.6597,-103.3496,High (40-80%),High (40-80%),Extremely high (>80%),0.576014523,0.754283415,1.040899325
15,Estado de México,19.2826,-99.6557,High (40-80%),Extremely high (>80%),Extremely high (>80%),0.790035273,0.964438923,1.755179122
16,Michoacán,19.5665,-101.7068,High (40-80%),Extremely high (>80%),Extremely high (>80%),0.790035273,0.964438923,1.755179122
17,Morelos,18.6813,-99.1013,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),1.2972921,1.660653633,2.677036519
18,Nayarit,21.7514,-104.8455,Low (<10%),Low-medium (10-20%),Low-medium (10-20%),0.075756793,0.15971797,0.165043322
19,Nuevo León,25.6866,-100.3161,High (40-80%),High (40-80%),High (40-80%),0.472984512,0.707386811,0.772024488
20,Oaxaca,17.0732,-96.7266,Low (<10%),Low (<10%),Low-medium (10-20%),0.079607357,0.088754807,0.117171979
21,Puebla,19.0414,-98.2063,High (40-80%),High (40-80%),Extremely high (>80%),0.602397567,0.711299838,1.446173056
22,Querétaro,20.5888,-100.3899,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),1.375463934,1.639427937,2.585842911
23,Quintana Roo,19.1817,-88.4791,Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),0.101418456,0.1239442,0.288224677
24,San Luis Potosí­,22.1565,-100.9855,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),9999,9999,9999
25,Sinaloa,25.1721,-107.4795,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),0.867135954,1.33049166,1.546496972
26,Sonora,29.0729,-110.9559,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),9999,9999,9999
27,Tabasco,17.8409,-92.6189,Low (<10%),Low-medium (10-20%),Medium-high (20-40%),0.034033963,0.11335919,0.220380701
28,Tamaulipas,24.2669,-98.8363,High (40-80%),High (40-80%),Extremely high (>80%),0.594927403,0.675903199,0.965362094
29,Tlaxcala,19.3182,-98.2375,High (40-80%),High (40-80%),Extremely high (>80%),0.602397567,0.711299838,1.446173056
30,Veracruz,19.1738,-96.1342,Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),0.157611276,0.176158554,0.341983484
31,Yucatán,20.4004,-89.1349,Low-medium (10-20%),Low-medium (10-20%),High (40-80%),0.157773581,0.154633204,0.437697209
32,Zacatecas,22.7709,-102.5833,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),9999,9999,9999
